scenario,interval_begin,interval_id,interval_flow,interval_harmonicMeanSpeed
attack,300.0,E0_1_2800m,2226.4,26.047666666666668
attack,300.0,E0_1_2900m,2227.6,26.034666666666666
attack,300.0,E0_1_3000m,2225.6,26.016333333333332
attack,300.0,E0_1_300m,2192.0,27.840333333333334
attack,300.0,E0_1_3100m,2224.0,25.99866666666667
attack,300.0,E0_1_3200m,2222.8,25.988333333333333
attack,300.0,E0_1_3300m,2220.0,25.965333333333334
attack,300.0,E0_1_3400m,2218.8,25.94266666666666
attack,300.0,E0_1_3500m,2223.6,25.904
attack,300.0,E0_1_3600m,2223.6,25.868333333333336
attack,300.0,E0_1_3700m,2225.2,25.836999999999996
attack,300.0,E0_1_3800m,2222.8,25.834
attack,300.0,E0_1_3900m,2224.0,25.817999999999998
attack,300.0,E0_1_4000m,2215.6,25.792999999999996
attack,300.0,E0_1_400m,2204.0,27.716333333333335
attack,300.0,E0_1_4100m,2216.0,25.764333333333333
attack,300.0,E0_1_4200m,2204.4,25.729333333333336
attack,300.0,E0_1_4300m,2199.6,25.69833333333333
attack,300.0,E0_1_4400m,2198.8,25.671
attack,300.0,E0_1_4500m,2197.2,25.650666666666663
attack,300.0,E0_1_4600m,2190.8,25.644666666666662
attack,300.0,E0_1_4700m,2181.2,25.663666666666664
attack,300.0,E0_1_4800m,2167.2,25.694999999999997
attack,300.0,E0_1_4900m,2158.4,25.73266666666667
attack,300.0,E0_1_5000m,2150.4,25.776666666666674
attack,300.0,E0_1_500m,2209.6,27.59566666666667
attack,300.0,E0_1_600m,2213.6,27.476
attack,300.0,E0_1_700m,2220.8,27.354333333333333
attack,300.0,E0_1_800m,2226.8,27.26066666666667
attack,300.0,E0_1_900m,2228.4,27.16533333333334
attack,600.0,E0_0_0m,0.0,-1.0
attack,600.0,E0_0_1000m,1813.2,25.266333333333332
attack,600.0,E0_0_100m,1828.8,25.969
attack,600.0,E0_0_1100m,1811.2,25.186333333333334
attack,600.0,E0_0_1200m,1802.4,25.06166666666667
attack,600.0,E0_0_1300m,1807.2,24.946666666666665
attack,600.0,E0_0_1400m,1809.2,24.848333333333333
attack,600.0,E0_0_1500m,1807.2,24.812666666666665
attack,600.0,E0_0_1600m,1805.2,24.759666666666657
attack,600.0,E0_0_1700m,1797.2,24.694
attack,600.0,E0_0_1800m,1797.6,24.635666666666665
attack,600.0,E0_0_1900m,1795.2,24.56966666666667
attack,600.0,E0_0_2000m,1799.2,24.533666666666665
attack,600.0,E0_0_200m,1849.2,25.967
attack,600.0,E0_0_2100m,1805.6,24.506000000000007
attack,600.0,E0_0_2200m,1800.0,24.470333333333333
attack,600.0,E0_0_2300m,1798.4,24.40666666666667
attack,600.0,E0_0_2400m,1800.8,24.352
attack,600.0,E0_0_2500m,1792.4,24.261666666666667
attack,600.0,E0_0_2600m,1794.8,24.12033333333334
attack,600.0,E0_0_2700m,1792.4,23.901000000000003
attack,600.0,E0_0_2800m,1798.0,23.540666666666667
attack,600.0,E0_0_2900m,1793.2,22.93066666666666
attack,600.0,E0_0_3000m,1782.8,21.89566666666667
attack,600.0,E0_0_300m,1841.2,25.93
attack,600.0,E0_0_3100m,1809.2,21.772333333333332
attack,600.0,E0_0_3200m,1856.8,21.93433333333333
attack,600.0,E0_0_3300m,1857.2,22.013666666666666
attack,600.0,E0_0_3400m,1850.8,22.03966666666667
attack,600.0,E0_0_3500m,1846.8,22.048666666666666
attack,600.0,E0_0_3600m,1844.8,22.045999999999996
attack,600.0,E0_0_3700m,1839.6,22.038333333333334
attack,600.0,E0_0_3800m,1841.6,22.057333333333325
attack,600.0,E0_0_3900m,1836.8,22.142333333333333
attack,600.0,E0_0_4000m,1838.4,23.273666666666667
attack,600.0,E0_0_400m,1830.0,25.864666666666665
attack,600.0,E0_0_4100m,1803.2,25.669333333333334
attack,600.0,E0_0_4200m,1810.4,25.68166666666666
attack,600.0,E0_0_4300m,1815.2,25.53366666666666
attack,600.0,E0_0_4400m,1815.6,25.40033333333333
attack,600.0,E0_0_4500m,1820.8,25.282333333333334
attack,600.0,E0_0_4600m,1815.6,25.160333333333337
attack,600.0,E0_0_4700m,1821.6,25.045666666666662
attack,600.0,E0_0_4800m,1826.0,24.96933333333333
attack,600.0,E0_0_4900m,1821.2,24.921
attack,600.0,E0_0_5000m,1820.8,24.85533333333333
attack,600.0,E0_0_500m,1829.2,25.808000000000003
attack,600.0,E0_0_600m,1822.0,25.71966666666667
attack,600.0,E0_0_700m,1823.6,25.59733333333333
attack,600.0,E0_0_800m,1821.2,25.46633333333334
attack,600.0,E0_0_900m,1822.0,25.37166666666667
attack,600.0,E0_1_0m,0.0,-1.0
attack,600.0,E0_1_1000m,2234.0,26.809666666666665
attack,600.0,E0_1_100m,2214.0,27.416666666666668
attack,600.0,E0_1_1100m,2229.6,26.706333333333337
attack,600.0,E0_1_1200m,2233.6,26.624000000000002
